,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.07466936111450195,0.0018873367823776031,0.007664283116658528,0.0004741239578395066,True,80,100,"{'bootstrap': True, 'max_depth': 80, 'n_estimators': 100}",0.8243243243243243,0.8243243243243243,0.8006756756756757,0.8164414414414415,0.011148079883571712,2,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
1,0.14200647672017416,0.0029089227081105407,0.014664967854817709,0.0004758110264097999,True,80,200,"{'bootstrap': True, 'max_depth': 80, 'n_estimators': 200}",0.8175675675675675,0.8175675675675675,0.8040540540540541,0.8130630630630631,0.006370331362040956,7,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
2,0.21165060997009277,0.0030767682723811707,0.021677811940511067,0.0009345202657247314,True,80,300,"{'bootstrap': True, 'max_depth': 80, 'n_estimators': 300}",0.8209459459459459,0.8243243243243243,0.7972972972972973,0.8141891891891891,0.012023736770305554,5,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
3,0.6896437009175619,0.0055405778113758125,0.0680232048034668,1.7049845865994573e-05,True,80,1000,"{'bootstrap': True, 'max_depth': 80, 'n_estimators': 1000}",0.8175675675675675,0.8209459459459459,0.8006756756756757,0.8130630630630631,0.00886712598424754,7,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
4,0.07366228103637695,0.0016993919397148998,0.0073435306549072266,0.0004622960635693582,True,90,100,"{'bootstrap': True, 'max_depth': 90, 'n_estimators': 100}",0.8175675675675675,0.8209459459459459,0.793918918918919,0.8108108108108109,0.012023736770305502,11,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
5,0.14465928077697754,0.0009247104675137567,0.014342466990152994,0.0004864374105797219,True,90,200,"{'bootstrap': True, 'max_depth': 90, 'n_estimators': 200}",0.8141891891891891,0.8108108108108109,0.8006756756756757,0.8085585585585585,0.0057421390918837665,15,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
6,0.21266841888427734,0.0023800024286220094,0.021664937337239582,0.0004700783441618556,True,90,300,"{'bootstrap': True, 'max_depth': 90, 'n_estimators': 300}",0.8175675675675675,0.8108108108108109,0.8006756756756757,0.8096846846846847,0.006941907661001101,14,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
7,0.6923443476359049,0.0038733162058029362,0.06799848874409993,4.052336624139773e-06,True,90,1000,"{'bootstrap': True, 'max_depth': 90, 'n_estimators': 1000}",0.8141891891891891,0.8209459459459459,0.8074324324324325,0.8141891891891891,0.0055168687900521915,5,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
8,0.07400012016296387,0.0008164374714932365,0.008001327514648438,1.083865300574768e-06,True,100,100,"{'bootstrap': True, 'max_depth': 100, 'n_estimators': 100}",0.8108108108108109,0.8209459459459459,0.793918918918919,0.8085585585585585,0.011148079883571674,15,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
9,0.14165306091308594,0.003088269940568111,0.01433412233988444,0.0004712612188947973,True,100,200,"{'bootstrap': True, 'max_depth': 100, 'n_estimators': 200}",0.8108108108108109,0.8277027027027027,0.8074324324324325,0.8153153153153153,0.00886712598424754,3,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
10,0.20665423075358072,0.0017054319705948524,0.022002776463826496,7.927392857575417e-06,True,100,300,"{'bootstrap': True, 'max_depth': 100, 'n_estimators': 300}",0.8243243243243243,0.8141891891891891,0.7972972972972973,0.8119369369369369,0.011148079883571716,10,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
11,0.6946589946746826,0.008267213281056448,0.06766676902770996,0.00047137035374583886,True,100,1000,"{'bootstrap': True, 'max_depth': 100, 'n_estimators': 1000}",0.8209459459459459,0.8175675675675675,0.8006756756756757,0.8130630630630631,0.00886712598424754,7,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
12,0.07234374682108562,0.0009373061350028937,0.007656097412109375,0.0004632785269263478,True,110,100,"{'bootstrap': True, 'max_depth': 110, 'n_estimators': 100}",0.8243243243243243,0.8074324324324325,0.8006756756756757,0.8108108108108109,0.00994567665127011,11,0.9831081081081081,0.9847972972972973,0.9932432432432432,0.9870495495495494,0.004433562992123753
13,0.1426555315653483,0.0024967601918049385,0.014011621475219727,1.7034280304084997e-05,True,110,200,"{'bootstrap': True, 'max_depth': 110, 'n_estimators': 200}",0.8243243243243243,0.8243243243243243,0.8040540540540541,0.8175675675675675,0.00955549704306146,1,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
14,0.22333121299743652,0.012637633228647784,0.021001418431599934,2.2138576948140653e-06,True,110,300,"{'bootstrap': True, 'max_depth': 110, 'n_estimators': 300}",0.8243243243243243,0.8209459459459459,0.8006756756756757,0.8153153153153153,0.010443264071504185,3,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
15,0.6933342615763346,0.002849793126423885,0.06867154439290364,0.0009395415316915699,True,110,1000,"{'bootstrap': True, 'max_depth': 110, 'n_estimators': 1000}",0.8175675675675675,0.8175675675675675,0.7972972972972973,0.8108108108108109,0.00955549704306146,11,0.9831081081081081,0.9864864864864865,0.9932432432432432,0.9876126126126126,0.00421357813825892
